greedy_ans,greedy_value,greedy_time,strict_ans,strict_value,strict_time
[1 2 18],7.054,97.7404,[1 18 22],7.082,9543.8924
[1 15 18],10.027,47.1394,[1 15 18],10.027,2527.4981
[1 18 20],8.224,69.8225,[1 2 18],8.251,8001.9726
[1 15 18],10.928,56.6718,[1 15 18],10.928,3232.9675
[2 18 28],9.381,79.7256,[2 18 28],9.381,8631.2155
[1 18 48],7.15,40.3654,[1 15 48],7.42,2068.0933
[1 22 28],14.086,72.279,[1 18 22],14.355,8077.9638
[2 15 18],9.584,29.7521,[1 15 18],9.709,1871.2705
[1 18 33],19.807,93.6904,[1 18 22],19.94,9393.9621
[1 15 20],5.662,38.342,[1 15 20],5.662,2563.1033
[1 15 18],12.685,122.3842,[1 15 18],12.685,14358.2824
[1 15 18],10.612,38.1446,[1 15 18],10.612,2507.321
[2 18 32],8.634,85.0604,[1 2 18],8.791,8305.6613
[1 15 18],9.184,37.5796,[2 6 18],9.261,1927.8753
[1 2 15],7.3,133.4582,[1 2 15],7.3,10132.8185
[1 15 18],7.218,56.9498,[1 15 18],7.218,2670.6158
[1 15 48],9.749,77.0496,[1 15 22],10.023,8625.1445
[1 15 18],9.893,54.5941,[1 15 18],9.893,2596.709
[1 18 33],11.481,106.5553,[1 15 18],12.078,11661.5547
[1 8 20],5.473,47.9883,[1 2 20],5.579,2726.8506
